pīvī|1
currī|5
cussī,|9
cussum,|10
pass.|1
συνήδοµαι|1
depsuī,|3
συµπάσκω|1
doluī,|5
dormīvī,|1
tr.:|6
χοιροσφαγειον|1
fersī,|2
fertum,|2
contulī,|1
collātum|1
cum|1
omni|1
fetu|1
adhibebatur|1
ad|4
sacrificium,|1
57,|1
21.|2
fēci,|3
fīsus|3
fixi,|1
fixum,|1
fīnxī,|4
fessus|3
t.|4
sc.|12
coniuges|1
fōtus,|2
fracuī,|2
fremui,|1
frīxī,|6
frīxum,|1
frēgī,|10
futūrum,|1
fore|1
fultus,|1
sī,|3
gemuī,|2
σύγγαµβρος|1
ὁµόεθνος|1
grī,|5
congeries,|1
Gromat.|4
vet.|4
211,|1
10;|1
227,|1
16|2
congerro,|1
Lucil.|5
inc.|2
177|1
quibus|1
ante|1
intermissum|1
fuerat|1
gerebatur,|1
Suet.|1
gregis,|2
gruī,|3
κονιστήριον|1
κώνειον|1
iugis,|1
pis,|1
questus|4
querī|4
quexī,|1
dōtis,|2
sānuī,|3
īre,|7
scīvī|3
συγγράφω|1
secuī,|12
senuī,|4
συµπεσβύτερος|1
συνέδριον|1
sepultus,|1
quentis,|1
situm|1
cerī,|2
consolor,|1
347;|1
ūtum,|1
sortis|3
spondī,|3
spōnsum,|4
spuī,|5
spūtum,|5
mathematicus|1
Avi,|4
strāvī,|10
strātum,|10
stituī,|3
stitūtum,|4
stātūrus,|5
pitum,|3
strūxī,|8
facere|1
sulis,|2
suluī,|1
sultum,|5
Ar</B>I|1
tābuī,|6
tēxī,|8
tempsī,|2
temptum,|1
brāvī,|1
ticuī,|2
impers.|15
torsī,|9
tortum,|8
torruī,|3
ἀντιγραφεύς|2
ἀντιγράφω|1
tremuī,|2
tribuī,|2
tribūtum,|2
trūsi,|2
tuitus|3
mācis,|1
tudī,|5
valuī,|8
vexus|1
vēlātus,|1
verrī|1
vescī|2
vīcī,|6
victum,|6
vīctum,|2
vōvī,|3
vōtum,|3
pis|2
caupo|1
cordis,|1
racis|1
racis,|1
Ar|1
a-|1
Us|8
corrigia|1
ruī,|10
ruitūrus,|2
ticis,|4
potentis|3
iōrum,|30
cōtis,|1
coctana,|1
cotana,|1
cotona,|1
cottona|1
nīcis|1
donis,|2
tyis|1
dicis|1
centis|2
tēris|1
brum,|1
bruī|2
pācis|2
pera,|1
perum|1
cantis|1
cidis|1
crucis|1
stultitia|1
trī|1
crūris,|2
crucis,|1
es|8
phōntis|1
phōntis,|1
cucullus|2
meris,|1
ātis|6
od.|4
richtiger|2
getrennt|2
cūiusdam|1
modī|1
<B>cūiavīs</B>,|1
<B>cūiumvīs|1
licis,|3
culicare,|1
Itala|2
Iudith|1
16,|6
culpābilius,|1
-on|1
gummi),|1
cumprimis,|1
Cic.|3
de|16
div.|1
68|1
M.|6
quomque),|1
cumulate|1
cuniculus|1
trip.|1
50,|1
copula|1
pēdis,|1
cucurrī,|1
cursum,|7
Frequ.|1
cuathus),|1
didis,|2
clōpis|1
cotyledon|1
cinyra|1
Indecl.|1
mōnis,|1
significantes|1
magnifice|1
Akk.|1
Ona|1
feri,|1
dapis,|1
īa,|1
y|1
lautia|1
ūtus,|1
arsī,|2
decas|1
eos,|8
uum,|6
ἀποφαίνω|1
dēquoquo),|1
ūncis,|4
decuī,|1
coris|1
superl.|1
ἀποµανθάνω|1
ducis|3
fendī,|2
fēnsum,|2
rīcis,|4
strīcis,|2
dē-tulī,|1
dē-lātum,|1
dē-ferre,|1
fervī|1
fetīsci|1
fessus,|1
Eri|2
flēvī,|3
flētum,|2
flōruī,|5
ἀπανθέω|1
καταρρέω|1
fricātum|3
fruī|1
fūnctus|3
fungī|3
neris,|1
glūpsī,|2
glūptum,|2
dēgī,|1
καταβαρέω|1
κατάβασις|1
hausī,|3
haustum,|3
hibuī,|2
ξενίζοµαι|1
iēci,|3
lābī,|7
ἀποδαψιλεύοµαι|1
lavātus|1
lētum,|2
līnxi,|1
līnctum,|3
lictum,|3
licuī,|4
maduī,|4
valde|2
magis|1
mentis|2
mersī,|5
mersum,|5
tros,|1
mētīrī,|2
messuī,|2
messum,|3
dēmpsī,|1
dēmptum,|1
mōlītus|1
ītus,|5
ōntis|1
mordī,|3
morsum,|4
morī,|1
trans.|1
mulsi,|1
mulsum|3
distrib.|2
enixe|1
ētum,|2
nūpsī,|5
nūptum,|5
operuī,|2
opertum,|1
pactum,|1
pāvī,|4
pāstum,|2
pāstus|2
pāscī|1
pectus|1
pecīscī|1
pēxī,|2
pexum,|1
U|1
perdidī,|1
perditum,|1
periī,|2
peritūrus,|1
plānxī,|2
plānctum,|2
pluī,|2
qui|4
sexagenarii|1
ponte|1
deiciebantur,|1
75,|2
7.|4
popōscī,|3
prandis|1
prōmpsī,|3
prōmptum,|3
εξιλάσκοµαι|1
depstum,|1
ἀπερυθριῶ|1
puduit,|1
assignatio,|1
var.|1
5|2
riguī,|3
rutum,|5
scendi,|1
scissus,|1
sipis|1
sidis|2
sēdī|2
sīdī,|1
