attribuo, attribui
attumulo, attumulavi
auceo, aucui
auctifico, auctificavi
auctiono, auctionavi
auctito, auctitavi
aucto, auctavi
auctorizo, auctorizavi
auctoro, auctoravi
auctumno, auctumnavi
aud, ausi
audeo, ausi
audio, audii
audio, audivi
audito, auditavi
aufero, abstuli
aufero, apstuli
aufugio, aufugi
augeo, auxi
augmento, augmentavi
auguro, auguravi
augusto, augustavi
aurigo, aurigavi
auro, auravi
auroro, auroravi
aurugino, auruginavi
ausculto, auscultavi
auspico, auspicavi
authentico, authenticavi
authorizo, authorizavi
authoro, authoravi
automatizo, automatizavi
autumno, autumnavi
autumo, autumavi
auxilio, auxiliavi
aveho, avexi
avello, avelli
avello, avolsi
avello, avulsi
averro, arri
averro, averri
averrunco, arruncavi
averrunco, averruncavi
averto, arti
averto, averti
avoco, avocavi
avolo, avolavi
avorro, avorri
avorto, avorti
badisso, badissavi
balito, balitavi
ballo, ballavi
balo, balavi
baptizo, baptizavi
barbio, barbii
barbio, barbivi
barbo, barbavi
basio, basiavi
baubo, baubavi
beatifico, beatificavi
bebo, bebavi
belligero, belligeravi
bello, bellavi
belo, belavi
benedico, benedixi
benefacio, benefeci
beneplaceo, beneplacui
beo, beavi
bibo, bibi
bino, binavi
bipartio, bipartii
bipartio, bipartivi
bipertio, bipertii
bipertio, bipertivi
bitumino, bituminavi
blactero, blacteravi
blandio, blandii
blandio, blandivi
blasphemo, blasphemavi
blatero, blateravi
blattero, blatteravi
blatto, blattavi
boicotizo, boicotizavi
bombardo, bombardavi
bombilo, bombilavi
bombio, bombii
bombio, bombivi
bombito, bombitavi
boo, boavi
borrio, borrii
borrio, borrivi
botono, botonavi
bovo, bovavi
bracio, braciavi
brevio, breviavi
bubino, bubinavi
bubulcito, bubulcitavi
bubulo, bubulavi
buccino, buccinavi
bucino, bucinavi
bulimo, bulimavi
bullio, bullii
bullio, bullivi
bullo, bullavi
burrio, burrii
burrio, burrivi
buvino, buvinavi
cacabo, cacabavi
cacaturio, cacaturii
cacaturio, cacaturivi
cachinno, cachinnavi
caco, cacavi
cacumino, cacuminavi
cado, cecidi
caeco, caecavi
caeculto, caecultavi
caedo, caecidi
caedo, cecidi
caelo, caelavi
caemento, caementavi
caenito, caenitavi
caeno, caenavi
caespito, caespitavi
caio, caiavi
calceo, calceavi
calcio, calciavi
calcitro, calcitravi
calco, calcavi
calculo, calculavi
caleco, calecavi
calefacio, calefeci
calefacto, calefactavi
caleo, calui
calfacio, calfeci
calico, calicavi
caligo, caligavi
calleo, callui
calligo, calligavi
callisco, callisci
calo, calavi
calvio, calvii
calvio, calvivi
calvo, calvavi
camaro, camaravi
cambio, cambiavi
cambio, campsi
camero, cameravi
camino, caminavi
campso, campsavi
cancello, cancellavi
cancerasco, canceravi
candefacio, candefeci
candeo, candui
candesco, candui
candico, candicavi
candido, candidavi
caneo, canui
cano, cani
cano, cecini
canonizo, canonizavi
cantillo, cantillavi
cantilo, cantilavi
cantito, cantitavi
canto, cantavi
canturio, canturii
canturio, canturivi
caperro, caperravi
capesco, capescii
capesco, capescivi
capesso, capessii
capesso, capessivi
capi, capsi
capio, cepi
capisso, capissii
capisso, capissivi
capistro, capistravi
captito, captitavi
captivo, captivavi
capto, captavi
capulo, capulavi
carbunculo, carbunculavi
careo, carui
carino, carinavi
carmino, carminavi
carnifico, carnificavi
carnufico, carnuficavi
carpo, carpsi
carrico, carricavi
casito, casitavi
cassito, cassitavi
casso, cassavi
castifico, castificavi
castigo, castigavi
castro, castravi
cataplasmo, cataplasmavi
catechisso, catechissavi
catechizo, catechizavi
catecizo, catecizavi
cateno, catenavi
catillo, catillavi
catomidio, catomidiavi
causo, causavi
cauterio, cauteriavi
cauterizo, cauterizavi
cavefacio, cavefeci
caveo, cavi
caverno, carnavi
caverno, cavernavi
cavo, cavavi
cedo, cessi
celebro, celebravi
celero, celeravi
celo, celavi
cenito, cenitavi
ceno, cenavi
censeo, censui
centralizo, centralizavi
centuplico, centuplicavi
centurio, centuriavi
cerifico, cerificavi
cerno, crevi
cernulo, cernulavi
cernuo, cernuavi
cero, ceravi
certifico, certificavi
certioro, certioravi
certo, certavi
cespito, caespitavi
cesso, cessavi
ceveo, cevi
chalo, chalavi
charazo, charazavi
charmido, charmidavi
chenturio, chenturiavi
Christianizo, Christianizavi
cibo, cibavi
cicatrico, cicatricavi
cicuro, cicuravi
cieo, cii
cieo, civi
cinematographo, cinematographavi
cingo, cinxi
cio, cii
cio, civi
circino, circinavi
circito, circitavi
circo, circavi
circuago, circuegi
circueo, circuii
circueo, circuivi
circulo, circulavi
circumaedifico, circumaedificavi
circumaggero, circumaggeravi
circumago, circumegi
circumambulo, circumambulavi
circumaro, circumaravi
circumcaedo, circumcaedi
circumcalco, circumcalcavi
circumcido, circumcidi
circumcingo, circumcinxi
circumcirco, circumcircavi
circumclamo, circumclamavi
circumclaudo, circumclausi
circumcludo, circumclusi
circumctipo, circumctipavi
circumculco, circumculcavi
circumcumulo, circumcumulavi
circumcurro, circumcucurri
circumcurro, circumcurri
circumcurso, circumcursavi
circumdo, circumdedi
circumdoleo, circumdolui
circumdolo, circumdolavi
circumduco, circumduxi
circumeo, circumii
circumeo, circumivi
circumequito, circumequitavi
circumerro, circumerravi
circumfarcio, circumfarsi
circumfero, circumtuli
circumfigo, circumfixi
circumfingo, circumfinxi
circumfinio, circumfinii
circumfinio, circumfinivi
circumfirmo, circumfirmavi
circumflagro, circumflagravi
circumflecto, circumflexi
circumflo, circumflavi
circumfluo, circulfluxi
circumfodio, circumfodi
circumforo, circumforavi
