cuppes, cuppedis
curabilis, curabilis
curialis, curialis
curilis, curilis
curio, curionis
currax, curracis
currens, currentis
currilis, currilis
currulis, currulis
cursualis, cursualis
curulis, curulis
curvabilis, curvabilis
cussiliris, cussiliris
cymatilis, cymatilis
cynodon, cynodontis
damnabilis, damnabilis
dapalis, dapalis
dapsilis, dapsilis
debilis, debilis
December, Decembris
decemjugis, decemjugis
decemmestris, decemmestris
decempedalis, decempedalis
decemplex, decemplicis
decemremis, decemremis
decemviralis, decemviralis
decennalis, decennalis
decennis, decennis
decennovalis, decennovalis
decens, decentis
deceptrix, deceptricis
deceris, deceris
decidens, decidentis
decimalis, decimalis
decitans, decitantis
declinabilis, declinabilis
declinis, declinis
declivis, declivis
decolor, decoloris
decor, decoris
decoris, decoris
decretalis, decretalis
decumas, decumatis
decurialis, decurialis
decurionalis, decurionalis
decurionatis, decurionatis
dedecens, dedecentis
dedecor, dedecoris
deducibilis, deducibilis
dedux, deducis
defaecabilis, defaecabilis
defamis, defamis
defecabilis, defecabilis
defectibilis, defectibilis
defectrix, defectricis
defensabilis, defensabilis
defensibilis, defensibilis
deforcians, deforciantis
deformis, deformis
degener, degeneris
deiformis, deiformis
deinceps, deincipis
deinceps, deincipitis
dejugis, dejugis
delassabilis, delassabilis
delebilis, delebilis
delectabilis, delectabilis
deletilis, deletilis
deletrix, deletricis
deliciaris, deliciaris
delumbis, delumbis
demarchisas, demarchisantis
demens, dementis
demonstrabilis, demonstrabilis
demutabilis, demutabilis
denecalis, denecalis
denicalis, denicalis
densabilis, densabilis
depilis, depilis
deplumis, deplumis
deponens, deponentis
deprandis, deprandis
deprans, deprandis
deprecabilis, deprecabilis
deproelians, deproeliantis
depubes, depuberis
depugis, depugis
depygis, depygis
deseps, desipis
deses, desidis
desiderabilis, desiderabilis
desiderans, desiderantis
desipiens, desipientis
desommis, desommis
desonans, desonantis
desperabilis, desperabilis
despicabilis, despicabilis
despicans, despicantis
dessidens, dessidentis
destructibilis, destructibilis
destructilis, destructilis
desultrix, desultricis
determinabilis, determinabilis
detestabilis, detestabilis
devorabilis, devorabilis
diaconalis, diaconalis
diademalis, diademalis
diagonalis, diagonalis
Dialis, Dialis
dialutensis, dialutensis
diametralis, diametralis
diametricalis, diametricalis
dicax, dicacis
differens, differentis
differentialis, differentialis
difficilis, difficilis
diffidens, diffidentis
diffors, diffortis
diffusilis, diffusilis
digestibilis, digestibilis
digestilis, digestilis
digitalis, digitalis
digladiabilis, digladiabilis
dignabilis, dignabilis
dignans, dignantis
dignitos, dignitosis
dignitoss, dignitossis
diligens, diligentis
diligibilis, diligibilis
diloris, diloris
diluvialis, diluvialis
dimissorialis, dimissorialis
dinumerabilis, dinumerabilis
diobolaris, diobolaris
dirimens, dirimentis
dis, ditis
disciplinabilis, disciplinabilis
disciplinaris, disciplinaris
discolor, discoloris
discors, discordis
discriminalis, discriminalis
dispar, disparis
dissimilis, dissimilis
dissociabilis, dissociabilis
dissors, dissortis
distans, distantis
divaliis, divaliis
dives, divitis
divisibilis, divisibilis
docibilis, docibilis
docilis, docilis
doctoralis, doctoralis
doctrinalis, doctrinalis
documentalis, documentalis
domabilis, domabilis
dominicalis, dominicalis
dorsualis, dorsualis
dotalis, dotalis
ductilis, ductilis
dulcis, dulcis
duplaris, duplaris
duplex, duplicis
duumviralis, duumviralis
ecclesialis, ecclesialis
edax, edacis
edibilis, edibilis
edictalis, edictalis
edulis, edulis
efficax, efficacis
efficiens, efficientis
effrons, effrontis
egens, egentis
elamentabilis, elamentabilis
elanguens, elanguentis
elegans, elegantis
elementaris, elementaris
eligibilis, eligibilis
elinguis, elinguis
eloquens, eloquentis
elumbis, elumbis
emax, emacis
eminens, eminentis
emortualis, emortualis
enarrabilis, enarrabilis
enervis, enervis
enodis, enodis
enormis, enormis
