adnoto|adnŏto=ādnŏto|17|||as, are|
adnuntio|adnuntĭo=ādnūntĭo|17|||as, are|
adnuo|adnŭo=ādnŭo|19|ādnŭ|ādnūt|is, ere, nui, nutum|
adnuto|adnūto=ādnūto|17|||as, are|
adoleo|ădŏlĕo|18|||es, ere|
adolescens|ădŏlescens=ădŏlēscēns|6|ădŏlēscēnt||entis, m.|
adolesco|ădŏlesco=ădŏlēsco|19|ădŏlēv|ădūlt|is, ere, leui, adultum|
adoneus|Ădōnēus|105|||i, m.|
adoptio|ădoptĭo=ădōptĭō̆|5|ădōptĭōn||onis, f.|
adoptivus|ădoptīvus=ădōptīvus|11|||a, um|
adopto|ădopto=ădōpto|17|||as, are|
adoratio|ădōrātĭo=ădōrātĭō̆|5|ădōrātĭōn||ionis, f.|
adoreus|ădōrĕus|11|||a, um|
adorior|ădŏrĭor=ădŏrĭŏr|28||ădōrt|iris, iri, adortus sum|
adorno|ădorno=ădōrno|17|||as, are|
adoro|ădōro|17|||as, are|
adpendix|adpendix=ādpēndīx|5|ādpēndĭc||icis, f.|
adpeto|adpĕto=ādpĕto|19|ādpēti,ādpētīv|ādpētīt|is, ere, petivi (petii), petitum|
adprecor|adprĕcor=ādprĕcŏr|24|||aris, ari|
adprimo|adprĭmo=ādprĭmo|19|ādprēss|ādprēss|is, ere, pressi, pressum|
adprono|adprōno=ādprōno|17|||as, are|
adpugno|adpugno=ādpūgno|17|||as, are|
adpulsus|adpulsus=ādpūlsus|9|||us, m.|
adrana|Adrăna=Ā̆drăna|0|||ae, m.|
adrepo|adrēpo=ā̆drēpo|19|ā̆drēps||is, ere, repsi, -|
adrideo|adrīdĕo=ā̆drīdĕo|18|ā̆drīs|ā̆drīs|es, ere, risi, risum|
adrigo|adrĭgo=ā̆drĭgo|19|ā̆drēx|ā̆drēct|is, ere, rexi, rectum|
adripio|adrĭpĭo=ā̆drĭpĭo|20|ā̆drĭpŭ|ā̆drēpt|(arr-) is, ere, ripui, reptum|
adrogans|adrŏgans=ā̆drŏgāns|14|ā̆drŏgānt||antis @ adroganter|
adroganter|adrŏganter=ā̆drŏgāntĕr|32|||adv.|
adrogantia|adrŏgantia=ā̆drŏgāntĭa|0|||ae, f.|
adrogo|adrŏgo=ā̆drŏgo|17|||as, are|
adscribo|adscrībo=ādscrībo|19|ādscrīps|ādscrīpt|is, ere, scripsi, scriptum|
adsectatio|adsectātĭo=ādsēctātĭō̆|5|ādsēctātĭōn||onis, f.|
adsectator|adsectātor=ādsēctātŏr|5|ādsēctātōr||oris, m.|
adsector|adsector=ādsēctŏr|24|||aris, ari|
adsensio|adsensĭo=ādsēnsĭō̆|5|ādsēnsĭōn||onis, f.|
adsensus|adsensus=ādsēnsus|9|||us, m.|
adsentio|adsentĭo=ādsēntĭo|19|ādsēns|ādsēns|is, ere, sensi, sensum|
adsentior|adsentĭor=ādsēntĭŏr|28||ādsēns|iris, iri, sensus sum|
adsentor|adsentor=ādsēntŏr|24|||aris, ari|
adsequor|adsĕquor=ādsĕquŏr|26||ādsĕcūt|eris, i, secutus sum|
adservo|adservo=ādsērvo|17|||as, are|
adseveratio|adsĕvērātĭo=ādsĕvērātĭō̆|5|ādsĕvērātĭōn||ionis, f.|
adsevero|adsĕvēro=ādsĕvēro|17|||as, are|
adsideo|adsĭdĕo=ādsĭdĕo|18|ādsēd|ādsēss|es, ere, sedi, sessum|
adsidue|adsĭdŭē=ādsĭdŭē|31|||adv.|
adsiduitas|adsĭdŭĭtās=ādsĭdŭĭtās|5|ādsĭdŭĭtāt||atis, f.|
adsiduo|adsĭduō=ādsĭdŭō|30|||adv.|
adsiduus|adsĭdŭus=ādsĭdŭus|11|||a, um @ adsidue|
adsigno|adsigno=ādsīgno|17|||as, are|
adsimulo|adsĭmŭlo=ādsĭmŭlo|17|||as, are|
adsisto|adsisto=ādsīsto|19|ādstĭt||is, ere, stiti|
adsoleo|adsŏlĕo=ādsŏlĕo|18|||es, ere|
adsono|adsŏno=ādsŏno|17|||as, are|
adsto|adsto=ādsto|17|ādstĭt||as, are, stiti, stitum|
adstrepo|adstrĕpo=ādstrĕpo|19|||is, ere|
adstringo|adstringo=ādstrīngo|19|ādstrīnx|ādstrīct|is, ere, strinxi, strictum|
adstupeo|adstŭpĕo=ādstŭpĕo|18|||es, ere|
adsuesco|adsŭesco=ādsŭēsco|19|ādsŭēv|ādsŭēt|is, ere, eui, etum|
adsuetudo|adsŭētūdō=ādsŭētūdō|5|ādsŭētūdĭn||inis, f.|
adsulto|adsulto=ādsūlto|17|||as, are|
adsultus|adsultus=ādsūltus|9|||us, m.|
adsum|adsŭm=ādsŭm|22|ādfŭ|ăd|es, esse, adfui|
adsumo|adsūmo=ādsūmo|19|ādsūmps|ādsūmpt|is, ere, sumpsi, sumptum|
adsurgo|adsurgo=ādsūrgo|19|ādsūrrēx|ādsūrrēct|is, ere, surrexi, surrectum|
adtendo|adtendo=ādtēndo|19|ādtēnd|ādtēnt|is, ere, tendi, tentum|
adtexo|adtexo=ādtēxo|19|ādtēxŭ|ādtēxt|is, ere, texui, textum|
adtingo|adtingo=ādtīngo|19|ādtīg|ādtāct|is, ere, tigi, tactum|
adtollo|adtollo=ādtōllo|19|||is, ere|
adtraho|adtrăho=ādtrăho|19|ādtrāx|ādtrāct|is, ere, traxi, tractum|
adtrecto|adtrecto=ādtrēcto|17|||as, are|
adtribuo|adtrĭbŭo=ādtrĭbŭo|19|ādtrĭbŭ|ādtrĭbūt|is, ere, tribui, tributum|
aduatuci|Adŭātŭci|1|||orum, m. pl.|
adulatio|ădūlātĭo=ădūlātĭō̆|5|ădūlātĭōn||ionis, f.|
adulator|ădūlātor=ădūlātŏr|5|ădūlātōr||oris, m.|
adulescens|ădŭlescens=ădŭlēscēns|6|ădŭlēscēnt||entis, m.|
adulescentia|ădŭlescentĭa=ădŭlēscēntĭa|0|||ae, f.|
adulescentulus|ădŭlescentŭlus=ădŭlēscēntŭlus|1|||i, m.|
adulo|ădūlo|17|||as, are|
adulor|ădūlor=ădūlŏr|24|||aris, ari|
adulter|ădulter=ădūltĕr|12|||era, erum|
adulterinus|ădultĕrīnus=ădūltĕrīnus|11|||a, um|
adulterium|ădultĕrĭum=ădūltĕrĭŭm|4|||i, n.|
adultus|ădultus=ădūltus|11|||a, um|
adumbro|ădumbro=ădūmbro|17|||as, are|
aduncus|ăduncus=ădūncus|11|||a, um|
adurgeo|ădurgĕo=ădūrgĕo|18|||es, ere|
aduro|ădūro|19|ădūss|ădūst|is, ere, ussi, ustum|
adusque|ădusquĕ=ădūsquĕ|30|||prép.|
adveho|advĕho=ādvĕho|19|ādvēx|ādvēct|is, ere, uexi, uectum|
advena|advĕna=ādvĕna|0|||ae, m.|
advenio|advĕnĭo=ādvĕnĭo|21|ādvēn|ādvēnt|is, ire, ueni, uentum|
adventicius|adventīcĭus=ādvēntīcĭus|11|||a, um|
advento|advento=ādvēnto|17|||as, are|
adventor|adventor=ādvēntŏr|5|ādvēntōr||oris, m.|
adventus|adventus=ādvēntus|9|||us, m.|
adversarius|adversārĭus=ādvērsārĭus|1|||ii, m.|
adversor|adversor=ādvērsŏr|24|||aris, ari|
adversus|adversus=ādvērsus|11|||a, um|
adversus|adversus2=ādvērsus|30|||prép. + acc.|
adverto|adverto=ādvērto|19|ādvērt||(aduorto) is, ere, uerti, uersum|
advesperasco|advespĕrasco=ādvēspĕrāsco|19|ādvēspĕrāv||is, ere|
advesperesco|advespĕresco=ādvēspĕrēsco|19|ādvēspĕrāv||cf. aduesperasco|
advocatio|advŏcātĭo=ādvŏcātĭō̆|5|ādvŏcātĭōn||onis, f.|
advocatus|advŏcātus=ādvŏcātus|1|||i, m.|
advoco|advŏco=ādvŏco|17|||as, are|
advolo|advŏlo=ādvŏlo|17|||as, are|
advolvo|advolvo=ādvōlvo|19|ādvōlv|ādvŏlūt|is, ere, uolui, uolutum|
advorsus|advorsus=ādvōrsus|11|||a, um|
adytum|ădўtum=ădўtŭm|4|||i, n.|
aebutia|Aebūtĭa=Āebūtĭa|0|||ae, f.|
aebutius|Aebūtĭus=Āebūtĭus|1|||i, m.|
aedes|aedēs=āedēs|6|āed||is, f.|
aedificium|aedĭfĭcĭum=āedĭfĭcĭŭm|4|||ii, n.|
aedifico|aedĭfĭco=āedĭfĭco|17|||as, are|
aedilis|aedīlis=āedīlĭs|6|āedīl||is, m.|
aedilitas|aedīlĭtās=āedīlĭtās|5|āedīlĭtāt||atis, f.|
aedituus|aedĭtŭus=āedĭtŭus|1|||i, m.|
aeduus|Aedŭus=Āedŭus|1|||cf. Haedui|
aegaeus|Aegaeus=Āegāeus|11|||a, um|
aegates|Aegātes=Āegātēs|6|Āegāt||ium, f. pl.|
aegeates|Aegēātēs=Āegēātēs|101|||ae, f.|
aeger|aeger=āegĕr|13|||gra, grum @ aegre|
aegeum|Aegeum=Āegēŭm|4|||i, n.|
aegre|aegrē=āegrē|31|||adv.|
aegritudo|aegrĭtūdō=āegrĭtūdō|5|āegrĭtūdĭn||dinis, f.|
aegroto|aegrōto=āegrōto|17|||as, are|
aegrotus|aegrōtus=āegrōtus|11|||a, um|
aegyptius|Aegyptĭus=Āegȳptĭus|11|||a, um|
aegyptus|Aegyptus=Āegȳptus|1|||i, f.|
aelia|Aelia=Āelĭa|0|||ae, f.|
aelius|Aelĭus=Āelĭus|1|||i, m.|
aemilia|Aemĭlĭa=Āemĭlĭa|0|||ae, f.|
aemilianus|Aemĭlĭānus=Āemĭlĭānus|1|||i, m.|
aemilius|Aemĭlĭus=Āemĭlĭus|1|||i, m.|
aemulatio|aemŭlātĭo=āemŭlātĭō̆|5|āemŭlātĭōn||ionis, f.|
aemulor|aemŭlor=āemŭlŏr|24|||aris, ari|
aemulus|aemŭlus=āemŭlus|11|||a, um|
aeneas|Aenēās=Āenēās|100|Āenē||ae, m.|
aeneus|ăēnĕus|11|||a, um|
aenus|ăēnus|11|||a, um|
aeolia|Aeŏlĭa=Āeŏlĭa|0|||ae, f.|
aeolus|Aeŏlus=Āeŏlus|1|||i, m.|
aequabilis|aequābĭlis=āequābĭlĭs|14|āequābĭl||e|
aequalis|aequālis=āequālĭs|14|āequāl||e @ aequaliter|
aequalitas|aequālĭtās=āequālĭtās|5|āequālĭtāt||atis, f.|
aequaliter|aequālĭter=āequālĭtĕr|32|||adv.|
aeque|aequē=āequē|31|||adv.|
aequinoctialis|aequĭnoctĭālis=āequĭnōctĭālĭs|14|||e|
aequinoctium|aequĭnoctĭum=āequĭnōctĭŭm|4|||i, n.|
aequiparatio|aequĭpărātĭo=āequĭpărātĭō̆|5|āequĭpărātĭōn||ionis, f.|
aequipero|aequĭpĕro=āequĭpĕro|17|||as, are|
aequitas|aequĭtās=āequĭtās|5|āequĭtāt||atis, f.|
aequo|aequo=āequo|17|||as, are|
aequor|aequor=āequŏr|7|āequŏr||oris, n.|
aequoreus|aequŏrĕus=āequŏrĕus|11|||a, um|
aequus|aequus=āequus|11|||a, um|
aer|āēr|5|āĕr||aeris, m.|
aerarium|aerārĭum=āerārĭŭm|4|||ii, n.|
aeratus|aerātus=āerātus|11|||a, um|
