adopto|adopto_, adopta_re, adopta_vi_, adopta_tum : v1
ador|ador, ado_ris : n
adorior|adorior, adori_ri_, adortus sum : v4 dep
adorno|adorno_, adorna_re, adorna_vi_, adorna_tum : v1
adoro|ado_ro_, ado_ra_re, ado_ra_vi_, ado_ra_tum : v1
adrado|adra_do_, adra_dere, adra_si_, adra_sum : v3
adsum|adsum, adesse, adfui_ : v5
adulatio|adu_la_tio_, adu_la_tio_nis : f
adulator|adu_la_tor, adu_la_to_ris : m
adulatorius|adu_la_to_rius, adu_la_to_ria, adu_la_to_rium : a
adulescens|adule_sce_ns, adule_scentis : m/f
adulescentia|adule_scentia, adule_scentiae : f
adulescentulus|adule_scentulus, adule_scentuli_ : m
adulor|adu_lor, adu_la_ri_, adu_la_tus sum : v1 dep
adulter|adulter, adulteri_ : m
adulter|adulter, adultera, adulterum : a
adultera|adultera, adulterae : f
adulterinus|adulteri_nus, adulteri_na, adulteri_num : a
adulterium|adulterium, adulter(i)i_ : n
adultero|adultero_, adultera_re, adultera_vi_, adultera_tum : v1
adultus|adultus, adulta, adultum : a
adumbratio|adumbra_tio_, adumbra_tio_nis : f
adumbro|adumbro_, adumbra_re, adumbra_vi_, adumbra_tum : v1
aduncitas|aduncita_s, aduncita_tis : f
aduncus|aduncus, adunca, aduncum : a
adurgeo|adurgeo_, adurge_re, adursi_ : v2
aduro|adu_ro_, adu_rere, adussi_, adustum : v3
adusque|adusque : adv
adusque|adusque : prep with acc
advecticius|advecti_cius, advecti_cia, advecti_cium : a
adveho|adveho_, advehere, adve_xi_, advectum : v3
advena|advena, advenae : m/f
advenio|advenio_, adveni_re, adve_ni_, adventum : v4
adventicius|adventi_cius, adventi_cia, adventi_cium : a
advento|advento_, adventa_re, adventa_vi_, adventa_tum : v1
adventor|adventor, advento_ris : m
adventus|adventus, adventu_s : m
adversaria|adversa_ria, adversa_rio_rum : npl
adversarius|adversa_rius, adversa_r(i)i_ : m
adversarius|adversa_rius, adversa_ria, adversa_rium : a
adversator|adversa_tor, adversa_to_ris : m
adversatrix|adversa_trix, adversa_tri_cis : f
adversor|adversor, adversa_ri_, adversa_tus sum : v1 dep
adversum|adversum : adv
adversum|adversum : prep with acc
adversus|adversus : adv
